"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"SVM","Ningún",16,0.17908410207857,0.128451817839086,0.987988962575299
0,"SVM","Ningún",17,0.188191397206477,0.129279073367889,0.987095582533232
0,"SVM","Ningún",18,0.191814085966613,0.137112508890212,0.986206674970745
0,"SVM","Ningún",19,0.184826258300309,0.135349273211734,0.987154983201807
0,"SVM","Ningún",20,0.188379454926128,0.132882916380767,0.986605847569325
0,"SVM","Ningún",21,0.176570737320382,0.131311089271298,0.988222005114269
0,"SVM","Ningún",22,0.195693024739434,0.132865258614198,0.985404757035596
0,"SVM","Ningún",23,0.184488050365949,0.130201756485057,0.987514715727565
0,"SVM","Ningún",24,0.194231007472246,0.136045301921604,0.985946459248385
0,"SVM","Ningún",25,0.188699110501796,0.133397149384812,0.986856520046293
0,"1NN","regENN",1,0.805262956328856,0.612994454713493,0.75908385223723
0,"1NN","regENN",2,0.804656044128825,0.599815157116451,0.759045256905903
0,"1NN","regENN",3,0.838996894793827,0.619261311172668,0.740977478128687
0,"1NN","regENN",4,0.839447835492706,0.61943674976916,0.733836449806886
0,"1NN","regENN",5,0.815864097195269,0.615452029520295,0.748531564138815
0,"1NN","regENN",6,0.844092009443449,0.631385041551247,0.730226777499576
0,"1NN","regENN",7,0.782132435093877,0.583632162661738,0.774492329131463
0,"1NN","regENN",8,0.801470575367117,0.60460258780037,0.756553458349693
0,"1NN","regENN",9,0.862988778024552,0.646439114391144,0.719680766413157
0,"1NN","regENN",10,0.839690067256329,0.630803324099723,0.74284372609494
0,"1NN","regENN",11,0.806596360929031,0.602079482439926,0.752660786323385
0,"1NN","regENN",12,0.820587792575222,0.617504621072089,0.748531066214546
0,"1NN","regENN",13,0.845768348735629,0.61746999076639,0.729879447352939
0,"1NN","regENN",14,0.858649888683627,0.636350230414747,0.730040616602602
0,"1NN","regENN",15,0.793327359571994,0.605646950092421,0.767124378082832
0,"1NN","regENN",16,0.787079706856078,0.590387453874539,0.767991507010932
0,"1NN","regENN",17,0.861014132884459,0.636528162511542,0.729878326730524
0,"1NN","regENN",18,0.838807082858151,0.632105263157895,0.736225897013588
0,"1NN","regENN",19,0.8187891176754,0.61873382624769,0.747912415265105
0,"1NN","regENN",20,0.824398789506923,0.611025878003697,0.743479040303554
0,"1NN","regENN",21,0.8095896475451,0.61503696857671,0.752392501582582
0,"1NN","regENN",22,0.820555354971871,0.610314232902033,0.743388328758187
0,"1NN","regENN",23,0.845952778479057,0.62342566943675,0.737484957159699
0,"1NN","regENN",24,0.821097950928177,0.613081180811808,0.748846885385673
0,"1NN","regENN",25,0.818256597681389,0.615623268698061,0.752856215537593
